Name,GrRule,REF,ALT
usage_prot_E6R8L9,CGB_F5540C,9.92239852493266,1.15114555049527
usage_prot_E6R8M0,CGB_F5550C,6243.8232720234,724.375462326926
usage_prot_E6R8M7,CGB_F5620C,-0,7431.30966777608
usage_prot_E6R8M9,CGB_F5640C,1382043.2291375,178423.952513037
usage_prot_E6R8N2,CGB_F5670W,-0,-0
usage_prot_E6R8N5,CGB_F6010W,912.267739663455,122.479956154645
usage_prot_E6R8Q4,CGB_F6195W,10.3218772797419,23851.8014221094
usage_prot_E6R8R6,CGB_F6320W,-0,-0
usage_prot_E6R8R8,CGB_F6340C,-0,-0
usage_prot_E6R8S2,CGB_G6640C,-0,-0
