Gene,Par_wo_RNA,Par_Ac_RNA,ATS_wo_RNA,ATS_Ac_RNA,Parwo_PARROT,ParAc_PARROT,ATSwo_PARROT,ATSAc_PARROT
PAPLA_03121,2759.00914329351,2288.19901527163,1873.71430391619,1695.56183106152,289200.053919068,28479.909679408,284041.76024042,32953.1064084316
PAPLA_03127,12735.9952705077,21490.477504007,14119.7157403031,20093.0293344,0,0,0,0
PAPLA_03129,2937.58679685467,2608.34299466938,3077.72924966547,2973.26015273823,0,0,0,0
PAPLA_03131,10265.5296117571,10804.3646368402,7171.57227749503,7252.08421682367,0,0,0,0
PAPLA_03150,34057.2865249837,10669.3710053477,25673.0571548644,10862.5471580335,0,17949.2748918282,0,23851.8254571935
PAPLA_03154,1859.93418870485,2326.29233255767,2218.8578463846,2443.57221071951,0,17949.257443548,0,23851.8014221094
PAPLA_03179,3815.86215500039,3237.843198529,2319.05727932681,2250.5869467791,982.317483270846,0,964.763041378844,0
PAPLA_03190,511.273913829749,243.449217754668,353.383935093355,162.233452998719,0,0,0,0
PAPLA_03212,926.070807242081,918.297587103364,1100.35820788223,866.724004507581,0,17949.257443548,0,23851.8014221094
PAPLA_03218,1767.77351337946,1998.2715702731,2598.12062602564,2702.26503510037,0,17949.257443548,0,23851.8014221094
PAPLA_03226,2590.17632322358,2188.47252160775,1292.2541026421,1400.64323356726,0.700902950667019,0.0810926800659058,0.733503091091709,0.0872285729866353
PAPLA_03237,20611.5747043212,15002.7716718333,10120.4745471215,7701.36845764403,0,0,0,0
PAPLA_03248,6128.47257110752,4420.21084819313,3396.14225372806,2703.55962531607,1891.31676442809,218.205173466575,1979.2849816111,231.695217497773
PAPLA_03250,5331.5382516966,5407.09327851066,4869.77580835196,4891.77616902867,212.867556156405,17949.257443548,209.070334773104,23851.8014221094
PAPLA_03251,2939.28120761229,1627.05021981402,1126.68655864196,817.904637119589,0,0,0,0
PAPLA_03269,3812.65659285216,1990.18168917572,1213.43132842647,1054.69725020426,0,0,0,0
PAPLA_03283,8222.65075191749,11607.8763544346,10663.0795414104,14009.7981953278,0,0,0,0
PAPLA_03288,1626.44032654949,984.692684535129,1031.40071530338,837.629436450749,0,0,0,0
PAPLA_03314,12174.8978757947,7699.8703194011,11025.3963134146,9546.6838049704,272.503370489989,34.0681442796597,285.746736048616,37.8109604156593
PAPLA_03325,2480.70438265545,3123.85712772798,3060.35936436589,3234.75930194768,0,0,0,0
PAPLA_03331,1833.91461880592,1773.09416544924,1528.25353133704,2047.56977621185,0,0,0,0
PAPLA_03341,3693.28595258646,3219.94458512895,3513.37936946559,3314.58117483368,0,0,0,0
PAPLA_03365,156.608962498947,218.228497326242,184.448766046193,225.896046212456,0,10006.1223875074,0,13646.550071811
PAPLA_03369,2332.52372692519,2835.91533057834,2613.99161545924,2319.76024981519,0,0,0,0
PAPLA_03379,2823.89977597777,1893.54947565103,2894.96109214437,2798.97431463119,0,0,0,0
PAPLA_03380,2319.52970667628,1900.93135912321,3863.40934563176,3423.42580820659,0,17949.257443548,0,23851.8014221094
PAPLA_03388,3533.77895243389,3137.51477697852,2501.7381896855,2231.74819533299,0,0,0,0
PAPLA_03404,1637.27551789065,1700.74630640657,1301.42683695506,1353.48763424977,3410.5007345186,335.860229038855,3349.66967851061,388.597970058606
PAPLA_03421,33712.7433649017,11450.4718275864,20045.1426097596,12498.6105770098,0,17949.257443548,0,23851.8014221094
PAPLA_03425,4221.68114971456,4255.50138974575,3850.1870604285,3665.25544815256,2914.61791071463,287.034187803876,2862.64302921829,332.094228362986
PAPLA_03446,4403.98198816179,1430.70687396549,1808.47407728114,921.970116440485,1202.13830166582,128.585140957157,1180.69478898088,252.796987746978
PAPLA_03458,903.057105308779,881.56467055973,459.350770411519,420.796514411137,0,17949.257443548,0,23851.8014221094
PAPLA_03467,127.131636961428,108.895510835306,169.889253916174,180.299122554687,0,17949.257443548,0,23851.8014221094
