Gene_id,Protein_ID
gene_6575,71632
gene_6585,71969
gene_6588,72240
gene_6594,72651
gene_6599,72730
gene_6601,72775
gene_6610,73293
gene_6629,74006
gene_6628,74144
gene_6630,74256
gene_6647,74793
gene_6648,74795
gene_6656,74981
gene_6654,75083
gene_6660,75285
gene_6661,75478
gene_6663,75606
gene_6668,76027
gene_6686,76462
gene_6695,77039
gene_6699,77065
gene_6701,77301
gene_6707,77405
gene_6739,78657
gene_6749,78781
gene_6750,78832
gene_6760,79442
gene_6799,82421
gene_6809,82831
gene_6813,83054
gene_6818,83182
gene_6821,83551
gene_6826,84230
gene_6827,84385
gene_6832,84496
gene_6833,84518
gene_6842,84801
gene_6864,85931
gene_6865,85985
gene_6871,85997
gene_6876,86289
gene_6875,86434
gene_6878,86536
gene_6879,86541
gene_6885,86629
gene_6888,86636
gene_6891,86693
gene_6902,86885
gene_6904,86889
gene_6894,428842
gene_6843,442574
gene_6644,442576
gene_6895,442578
gene_6858,442626
gene_6471,442639
gene_6689,442667
gene_6548,442669
gene_6482,442679
gene_6512,442696
gene_6773,442698
gene_6837,442735
gene_6549,442762
gene_6508,442797
gene_6669,442805
gene_6505,442873
gene_6467,442885
gene_6513,442910
gene_6522,443002
gene_6519,443019
gene_6761,443049
gene_6698,443086
gene_6887,443098
gene_6678,443137
gene_6501,443173
gene_6617,443175
gene_6474,456959
gene_6534,457052
gene_6615,457171
gene_6639,457209
gene_6692,457280
gene_6697,457291
gene_6795,457419
gene_6803,457434
gene_6841,457480
gene_6901,457532
gene_6478,467708
gene_6587,467875
gene_6611,467906
gene_6672,467992
gene_6734,468089
gene_6784,468143
gene_6491,474691
gene_6536,474723
gene_6562,474745
gene_6589,474764
gene_6646,474806
gene_6653,474812
gene_6708,474855
gene_6718,474863
gene_6730,474872
gene_6732,474874
gene_6745,474886
gene_6751,474891
gene_6752,474892
gene_6759,474898
gene_6788,474915
gene_6805,474928
gene_6823,474943
gene_6835,474953
gene_6845,474961
gene_6867,474977
gene_6868,474978
gene_6869,474979
gene_6883,474992
gene_6896,474999
gene_6462,497986
gene_6479,498088
gene_6486,498149
gene_6488,498163
gene_6489,498169
gene_6490,498175
gene_6492,498185
gene_6493,498189
gene_6494,498192
gene_6496,498200
gene_6497,498205
gene_6499,498210
gene_6500,498213
gene_6506,498232
gene_6510,498257
gene_6511,498259
gene_6514,498271
gene_6517,498292
gene_6518,498297
gene_6520,498304
gene_6523,498311
gene_6528,498326
gene_6529,498330
gene_6530,498334
gene_6533,498343
gene_6535,498346
gene_6539,498360
gene_6540,498364
gene_6542,498374
gene_6544,498380
gene_6552,498410
gene_6553,498420
gene_6555,498444
gene_6556,498446
gene_6557,498450
gene_6558,498454
gene_6560,498460
gene_6563,498483
gene_6565,498489
gene_6567,498499
gene_6568,498505
gene_6571,498510
gene_6572,498514
gene_6573,498520
gene_6579,498532
gene_6580,498534
gene_6581,498536
gene_6582,498541
gene_6583,498545
gene_6584,498549
gene_6593,498575
gene_6596,498582
gene_6600,498589
gene_6602,498597
gene_6603,498600
gene_6604,498601
gene_6605,498604
gene_6606,498609
gene_6608,498613
gene_6612,498657
gene_6613,498663
gene_6614,498670
gene_6616,498675
gene_6619,498687
gene_6622,498696
gene_6623,498700
gene_6624,498703
gene_6627,498708
gene_6631,498719
gene_6632,498724
gene_6635,498733
gene_6636,498734
gene_6638,498741
gene_6645,498759
gene_6649,498773
gene_6650,498775
gene_6651,498780
gene_6652,498785
gene_6657,498806
gene_6658,498808
gene_6659,498809
gene_6662,498817
gene_6664,498833
gene_6665,498838
gene_6666,498841
gene_6667,498852
gene_6670,498865
gene_6671,498867
gene_6675,498880
gene_6679,498893
gene_6680,498897
gene_6681,498901
gene_6682,498906
gene_6683,498910
gene_6684,498914
gene_6685,498916
gene_6690,498925
gene_6691,498928
gene_6693,498934
gene_6694,498939
gene_6700,498956
gene_6703,498968
gene_6704,498972
gene_6705,498975
gene_6709,498985
gene_6710,498987
gene_6711,498992
gene_6712,498994
gene_6713,498996
gene_6714,499005
gene_6715,499010
gene_6717,499015
gene_6722,499027
gene_6723,499029
gene_6724,499031
gene_6725,499037
gene_6726,499040
gene_6727,499042
gene_6737,499063
gene_6738,499067
gene_6741,499074
gene_6744,499080
gene_6746,499084
gene_6747,499088
gene_6748,499090
gene_6753,499098
gene_6754,499101
gene_6756,499109
gene_6762,499127
gene_6766,499148
gene_6767,499159
gene_6768,499167
gene_6770,499170
gene_6771,499173
gene_6774,499180
gene_6775,499181
gene_6776,499185
gene_6777,499187
gene_6778,499191
gene_6779,499198
gene_6780,499202
gene_6782,499205
gene_6785,499214
gene_6786,499219
gene_6790,499226
gene_6791,499229
gene_6792,499231
gene_6793,499232
gene_6794,499235
gene_6796,499239
gene_6797,499242
gene_6801,499255
gene_6802,499258
gene_6804,499269
gene_6806,499271
gene_6807,499274
gene_6808,499275
gene_6810,499281
gene_6811,499284
gene_6814,499294
gene_6815,499298
gene_6820,499320
gene_6824,499327
gene_6825,499329
gene_6831,499355
gene_6834,499360
gene_6838,499367
gene_6839,499368
gene_6844,499381
gene_6850,499398
gene_6851,499401
gene_6856,499422
gene_6861,499433
gene_6862,499480
gene_6863,499487
gene_6873,499502
gene_6886,499549
gene_6892,499564
gene_6893,499567
gene_6897,499571
gene_6898,499573
gene_6900,499578
gene_6903,499588
gene_6472,506382
gene_6532,506410
gene_6543,506415
gene_6591,506450
gene_6626,506458
gene_6642,506463
gene_6702,506483
gene_6729,506498
gene_6461,512766
gene_6463,512768
gene_6464,512769
gene_6465,512770
gene_6485,512787
gene_6502,512804
gene_6524,512823
gene_6526,512825
gene_6541,512840
gene_6576,512872
gene_6578,512874
gene_6586,512881
gene_6592,512885
gene_6595,512888
gene_6620,512911
gene_6621,512912
gene_6640,512928
gene_6641,512929
gene_6655,512941
gene_6673,512959
gene_6676,512961
gene_6736,513014
gene_6755,513029
gene_6757,513031
gene_6758,513032
gene_6783,513049
gene_6800,513065
gene_6816,513079
gene_6817,513080
gene_6819,513082
gene_6828,513090
gene_6849,513108
gene_6852,513111
gene_6857,513113
gene_6860,513115
gene_6877,513128
gene_6884,513135
gene_6890,513140
gene_6905,513154
gene_6561,517274
gene_6564,517276
gene_6590,517324
gene_6609,517394
gene_6643,517452
gene_6688,517524
gene_6719,517610
gene_6735,517637
gene_6765,517730
gene_6772,517787
gene_6789,517865
gene_6853,518000
gene_6855,518003
gene_6870,518038
gene_6881,518054
gene_6882,518058
gene_6906,518098
gene_6618,536397
gene_6469,542332
gene_6470,542333
gene_6577,542425
gene_6637,542475
gene_6706,542535
gene_6721,542548
gene_6731,542557
gene_6764,542580
gene_6769,542584
gene_6798,542606
gene_6829,542632
gene_6830,542633
gene_6872,542658
gene_6880,542665
gene_6498,548009
gene_6559,548051
gene_6597,548078
gene_6716,548160
gene_6733,548168
gene_6740,548174
gene_6781,548201
gene_6836,548240
gene_6846,548247
gene_6874,548263
gene_6889,548271
gene_6899,548276
gene_6907,86950
gene_6912,87007
gene_6918,87076
gene_6929,87720
gene_6928,87753
gene_6932,88133
gene_6931,88375
gene_6933,88748
gene_6921,88965
gene_6920,89055
gene_6934,89412
gene_6941,89716
gene_6943,89890
gene_6953,90295
gene_6954,90357
gene_6957,90485
gene_6958,90488
gene_6961,90526
gene_6969,91046
gene_6982,91768
gene_6989,92041
