log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-2.1360600838363,-1.78832006578127,5.93703822515788e-101,2.3903148588831e-23,gene_5202
-2.29860759768863,-1.57067114216163,3.58451114135695e-88,1.86395613378467e-19,gene_5210
-1.85852103126017,-2.48112037075561,2.96558697508407e-96,2.06898385673376e-162,gene_5292
-2.2839146353172,-2.35074343385754,3.87375492147777e-133,3.944830868467e-42,gene_5301
-2.02406991701228,-1.24967890677067,7.18138368884716e-140,1.65635601617726e-51,gene_5361
-1.64315114947126,-1.53101426746392,1.73947758524657e-74,1.16189253716348e-30,gene_5375
-1.34727285079201,-1.2798743627915,2.82129234343949e-17,1.33797757870272e-35,gene_5378
-2.59773776299345,-2.74205371627413,3.69211109846974e-23,1.02529126609334e-49,gene_5379
-1.00473001031037,-1.43399944292684,1.41912489669304e-08,4.56101343776845e-11,gene_5380
-1.62285501275016,-1.22992652304929,2.68675449132486e-93,2.60215500079547e-12,gene_540
-1.85922696853996,-1.91852043263191,6.31177677738447e-83,3.53545480758567e-31,gene_5420
-1.92387654644386,-1.07831010421215,8.56503801131234e-158,2.66769625558043e-38,gene_5423
-1.2200457698643,-1.22759410610031,5.34177754396367e-92,1.32169769524222e-50,gene_5475
-1.38738469906432,-1.326515447918,1.2677661411323e-117,2.98314198720945e-121,gene_5492
-1.21566837896768,-1.78223593677758,9.27815617543339e-14,9.07087355207647e-25,gene_5503
-1.89886734089699,-1.6091823091379,6.94140022279393e-44,1.98395575312089e-16,gene_5511
-1.63033549030724,-1.33675713764767,3.75436475393042e-145,7.51484611315695e-84,gene_5620
-1.17780363757459,-1.21496479998312,4.76417332166454e-89,2.59193380765427e-205,gene_5621
-1.95365135189413,-1.33769427589804,8.92401197252164e-163,8.821390871702e-51,gene_572
-1.67777951911435,-1.24670803245968,7.7777057613027e-136,8.85912574606158e-70,gene_5747
-1.19232672440057,-1.15716951547626,5.92299497226591e-46,2.32217826276568e-21,gene_5748
-2.63327100553987,-2.26814620817474,0.0,7.79523516192659e-124,gene_5820
-1.19126179073485,-1.36921071697495,8.44514394254448e-28,4.2362437618927e-32,gene_5824
