Rxns	ranges	m1000lux	maxFlux
t_0893_REV	16.7676564451047	0	16.7676564451047
t_0898	0	0	0
t_0899	0	0	0
t_0902	0	0	0
t_0903	0	0	0
t_0904	0	0	0
t_0906	0	0	0
t_0907	0	0	0
t_0908	0	0	0
t_0909	0	0	0
t_0910	0	0	0
t_0911	0	0	0
t_0912	0	0	0
t_0913	0	0	0
t_0914	0	0	0
t_0915	0	0	0
t_0916	0	0	0
t_0917	0	0	0
t_0918	0	0	0
t_0919	0	0	0
t_0920	0	0	0
t_0921	0	0	0
t_0922	0	0	0
t_0923	0	0	0
t_0926	0	0	0
t_0927	0	0	0
t_0928	0	0	0
t_0930	0	0	0
t_0931	0	0	0
t_0934	0	0	0
t_0935	0	0	0
t_0936	0	0	0
t_0938	0	0	0
t_0939	0	0	0
t_0940	0	0	0
t_0941	0	0	0
t_0942	0	0	0
t_0943	0	0	0
t_0944	0	0	0
t_0945	0	0	0
t_0946	0	0	0
t_0947	0	0	0
t_0952	0.186973598803063	0	0.186973598803063
t_0953	0.186973598769849	0	0.186973598769849
t_0958	0	0	0
t_0959	0	0	0
t_0964	0.186957840316672	0	0.186957840316672
t_0965	0.186957840316672	0	0.186957840316672
t_0967	0.017617948295713	0	0.017617948295713
t_0969	0.0155503193455104	0	0.0155503193455104
t_0971	0.00128153939251007	0	0.00128153939251007
t_0973	0.00128153939251109	0	0.00128153939251109
t_0974	0.0107147877861458	0	0.0107147877861458
t_0975	0.0107907934954661	0	0.0107907934954661
t_0976	0.0107148281283608	0	0.0107148281283608
t_0977	0.0107907940911738	0	0.0107907940911738
