Reaction	Log10_ParWo	Log10_ParAc	Log10_ATSWo	Log10_ATSAc
r_0233	-2.74996230845434	-2.51849020977342	-2.75621964284038	-2.24047044225287
r_0234	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0235	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0236	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0237	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0238	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0239	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0240	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0241	-2.72202409167218	-2.49036792059928	-2.72828142603888	-2.20194338195216
r_0242	-2.74996230845434	-2.51849020977342	-2.75621964284038	-2.24047044225287
r_0243	-2.73994156092766	-2.50840480659699	-2.74619889530546	-2.23684166846384
r_0244	-2.75488728954825	-2.52344642164199	-2.76114462393396	-2.24136165768774
r_0250	-0.6376250621167	-0.425000189911375	-0.643884340638221	-0.00660115029221984
r_0252	-0.154238628639801	0.0605907070524632	-0.153272491584204	0.421452634066399
r_0253	-0.996375018063732	-0.712258530990152	-1.00263235245675	-0.28148941275235
r_0254	-0.154238628639801	0.0605907070524632	-0.153272491584204	0.421452634066399
