Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_817	1160	1177	1179
gene_818	7433	7632	6887
gene_819	2876	3066	2985
gene_820	5520	6104	5469
gene_821	122	112	113
gene_823	1121	1301	1144
gene_824	3296	3149	3317
gene_825	1249	1601	1529
gene_826	42	49	50
gene_827	1042	1210	1049
gene_828	3020	3098	2895
gene_829	163	203	166
gene_830	2931	3363	2988
gene_832	30953	33959	31054
gene_833	1118	1269	1048
gene_834	11139	11917	11310
gene_835	1524	1418	1553
gene_836	21	6	21
gene_837	5000	5284	5187
gene_839	320	340	266
gene_840	1188	1105	1132
gene_841	293	363	331
gene_842	690	678	749
gene_843	301	350	226
gene_844	349	409	417
gene_845	5293	5378	5265
gene_846	2110	2092	1990
gene_847	674	655	689
gene_848	3255	3621	3339
gene_849	74	38	80
gene_850	771	782	658
gene_851	730	852	685
gene_852	63	85	65
gene_853	801	910	933
gene_854	455	573	499
gene_855	319	421	411
gene_856	366	445	347
gene_857	1647	1965	1799
gene_858	6197	6598	6145
gene_859	4650	4681	4373
gene_860	0	2	0
gene_861	1326	1467	1356
gene_862	2598	2590	2800
gene_863	55940	61605	56214
gene_864	2198	2176	1883
gene_865	926	1023	922
gene_866	614	693	694
gene_867	2052	1920	1934
gene_868	287	433	349
gene_869	15	7	14
gene_870	0	0	0
gene_871	1123	1446	1314
gene_872	290	251	364
gene_873	1248	1250	1338
gene_874	4090	3262	3342
gene_875	628	431	373
gene_876	2882	3195	2943
gene_877	1806	1893	1818
gene_878	5288	5170	5068
gene_879	2829	3312	2930
gene_880	10	1	2
gene_882	4314	4316	4220
gene_883	893	1080	996
gene_884	1911	1895	1746
gene_885	300	377	327
gene_886	1448	1601	1315
gene_888	1284	1262	1223
gene_889	2711	2982	2826
gene_890	4505	4832	4665
gene_891	1693	1831	1777
gene_892	4947	5137	4788
gene_893	2504	2292	2317
gene_894	1140	1077	1042
gene_895	2906	3273	2828
gene_896	1396	1365	1458
gene_897	178	223	192
gene_898	83	101	123
gene_899	416	468	440
gene_900	3436	3729	3508
gene_901	3865	4149	3739
gene_902	4234	4529	4481
gene_903	582	688	549
gene_904	259	313	234
gene_905	484	447	461
gene_906	857	935	816
gene_907	279	303	316
gene_908	190	156	192
gene_909	743	722	535
gene_910	5757	6157	6000
gene_911	440	510	537
gene_912	477	518	477
