Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_846	2298	1945	1908
gene_847	1209	1158	921
gene_848	3314	3506	2837
gene_849	57	109	54
gene_850	826	896	776
gene_851	815	989	748
gene_852	74	72	70
gene_853	1067	1139	964
gene_854	676	658	506
gene_855	348	460	418
gene_856	277	309	278
gene_857	2624	2252	2668
gene_858	6849	6794	6235
gene_859	4201	4308	3423
gene_860	0	0	0
gene_861	2563	2445	2315
gene_862	3663	3543	3103
gene_863	56079	54683	51084
gene_864	1508	1577	1308
gene_865	924	967	740
gene_866	1027	1106	795
gene_867	2257	2092	2044
gene_868	396	404	311
gene_869	1	6	6
gene_870	4	0	2
gene_871	1247	1317	1020
gene_872	595	576	433
gene_873	2750	2585	2492
gene_874	3132	2757	3786
gene_875	355	329	436
gene_876	2105	2091	1634
gene_877	1015	992	951
gene_878	2667	2278	1999
gene_879	1869	1786	1608
gene_880	4	0	2
gene_882	4844	4504	4408
gene_883	696	800	704
gene_884	1942	1968	1633
gene_885	382	455	367
gene_886	1488	1646	1358
gene_888	932	817	723
gene_889	2642	2751	2147
gene_890	5105	5314	4604
gene_891	1359	1372	1024
gene_892	5062	4540	4725
gene_893	2186	1972	2558
gene_894	976	1083	990
gene_895	950	913	762
gene_896	1085	1199	899
gene_897	202	169	123
gene_898	201	152	148
gene_899	387	427	358
gene_900	2858	3328	2591
gene_901	3912	3951	3614
gene_902	4567	4739	3910
gene_903	475	603	421
gene_904	1048	886	724
gene_905	780	730	743
gene_906	1086	1022	936
gene_907	633	594	681
gene_908	379	322	306
gene_909	600	579	505
gene_910	5053	4865	4293
gene_911	411	422	385
gene_912	617	591	582
gene_913	2719	2528	3167
gene_914	8276	8515	7069
gene_915	867	728	719
gene_917	474	486	356
gene_918	914	926	693
gene_919	2147	2231	1805
gene_920	6153	6533	4979
gene_921	1084	1136	875
gene_922	1720	1871	1444
gene_923	671	700	639
gene_924	2966	3109	2718
gene_925	1	4	4
gene_926	1688	1611	1478
gene_927	5210	5070	4644
gene_928	334	362	398
gene_929	11854	12342	10327
gene_930	1841	1835	1480
gene_931	561	562	457
gene_932	912	937	889
gene_933	2241	2544	2085
gene_934	9374	7433	8184
gene_935	4149	4211	3433
gene_936	0	0	0
gene_937	0	0	0
gene_938	0	1	0
gene_940	118	135	95
gene_941	3905	3949	3441
gene_942	734	719	668
gene_943	1315	1447	1221
gene_945	433	480	339
gene_946	1265	1429	1205
gene_947	12987	13943	11576
gene_948	26487	27380	21649
gene_949	448	446	389
gene_950	140	121	125
gene_951	2698	2913	2404
gene_952	12	16	6
gene_953	5431	5467	4865
gene_954	3071	3246	2674
gene_955	115	89	113
gene_956	4110	4184	3582
gene_957	48	61	43
gene_958	4107	4231	3633
gene_959	1724	1796	1430
gene_960	890	877	680
gene_961	25313	23757	23192
gene_962	38	26	10
gene_963	6128	5903	5757
gene_964	753	850	704
gene_965	324	356	345
gene_966	0	0	0
gene_967	0	0	0
gene_968	8	6	12
gene_969	203	279	160
gene_970	436	493	297
gene_971	1604	1446	1338
gene_972	4003	3539	3732
gene_973	80	135	84
gene_974	2151	2298	1849
gene_976	2429	2417	1963
gene_977	74	89	86
gene_978	363	309	366
gene_979	202	216	167
gene_980	5785	6115	5151
gene_983	657	738	629
gene_985	2808	2837	2455
gene_986	1069	1282	1018
gene_987	1270	1416	1224
gene_988	23045	24346	19848
gene_989	4898	5057	4004
gene_990	3461	3256	3044
gene_991	4	4	0
gene_992	59	37	40
gene_993	5595	5844	4820
gene_994	68	88	86
gene_995	3102	3221	2754
gene_996	10125	10118	8319
gene_997	1546	1742	1343
gene_998	1448	1436	1256
gene_999	2230	1966	2033
gene_1000	1869	1769	1608
gene_1001	3071	3013	2751
gene_1002	2670	2663	2233
gene_1003	1562	1692	1491
gene_1004	826	857	757
gene_1005	5119	5042	4783
gene_1006	2051	1973	1887
gene_1007	2887	2685	2942
gene_1008	341	317	311
gene_1009	339	428	324
gene_1010	2	0	0
gene_1011	19	14	15
gene_1012	44	63	22
gene_1013	4241	4129	4679
gene_1014	1080	1134	1262
gene_1015	8664	8266	7669
gene_1016	499	490	360
gene_1017	1092	976	846
gene_1018	521	414	377
gene_1019	4156	4331	3303
gene_1020	122	61	50
gene_1021	6581	5732	6660
gene_1022	2511	2471	2304
gene_1023	1437	1506	1191
gene_1024	1574	1544	1365
gene_1025	2908	2824	2476
gene_1029	3128	3073	2763
gene_1030	3419	3515	3072
gene_1031	3505	3944	3143
gene_1032	1443	1589	1346
gene_1033	2185	2099	1989
gene_1034	1186	1232	1065
gene_1035	9796	9217	8438
gene_1036	4152	4381	3519
gene_1037	1676	1435	1303
gene_1038	1225	1305	1096
gene_1039	3236	3415	2695
gene_1040	4	2	1
gene_1041	582	596	475
gene_1042	470	568	402
gene_1043	572	522	425
gene_1044	809	740	595
gene_1045	2421	2233	2217
gene_1046	1422	1347	1292
gene_1047	1	3	3
gene_1048	6	10	9
gene_1049	1919	1913	1801
gene_1051	30339	28531	28741
gene_1052	82	73	74
gene_1053	877	881	834
gene_1054	45	62	61
gene_1055	637	571	531
gene_1056	27994	27796	25403
gene_1057	116	125	95
gene_1058	2800	2751	2339
gene_1059	9278	9402	9099
gene_1060	730	601	571
gene_1061	380	349	368
gene_1062	446	401	430
gene_1063	1437	1560	1159
gene_1064	352	346	300
gene_1067	2295	2394	1961
gene_1068	272	261	256
gene_1069	2664	2147	2459
gene_1070	335	347	243
gene_1071	841	993	783
gene_1072	2304	2436	2076
gene_1073	4048	3839	3766
gene_1074	2886	2718	2804
gene_1075	1485	1672	1395
gene_1076	297	300	258
gene_1077	1382	1600	1378
gene_1078	422	532	419
gene_1079	1706	1850	1440
gene_1080	1356	1240	1067
gene_1081	712	771	685
gene_1082	1750	1817	1464
