Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_892	5443	5858	5725
gene_893	2448	2220	2196
gene_894	1202	1138	1103
gene_895	2933	3166	2627
gene_896	1028	1351	1157
gene_897	182	197	319
gene_898	227	285	230
gene_899	591	590	630
gene_900	2746	3576	3047
gene_901	4440	4612	4468
gene_902	4553	5015	4604
gene_903	680	788	820
gene_904	496	514	496
gene_905	598	640	617
gene_906	873	838	855
gene_907	616	545	710
gene_908	541	757	753
gene_909	633	728	649
gene_910	7132	7381	7176
gene_911	511	615	480
gene_912	572	624	568
gene_913	730	642	696
gene_914	13510	16023	13163
gene_915	782	1002	834
gene_917	491	515	474
gene_918	1232	1442	1348
gene_919	1891	2559	2292
gene_920	6536	7863	7387
gene_921	1033	1154	1065
gene_922	10399	12501	11137
gene_923	717	699	673
gene_924	2347	2694	2621
gene_925	10	4	4
gene_926	1529	1514	1784
gene_927	7719	8063	7402
gene_928	550	754	588
gene_929	10356	12589	11878
gene_930	2644	3104	2775
gene_931	840	971	964
gene_932	1078	1202	1138
gene_933	2729	3297	2768
gene_934	9753	9373	9437
gene_935	4373	5500	5125
gene_936	0	0	0
gene_937	0	0	0
gene_938	3	2	0
gene_940	146	151	189
gene_941	6626	7478	6855
gene_942	933	1056	1049
gene_943	1639	1978	1807
gene_945	1193	1388	1378
gene_946	2358	2656	2630
gene_947	9761	11272	10566
gene_948	42557	51410	44996
gene_949	461	676	525
gene_950	234	314	265
gene_951	3340	3454	3100
gene_952	30	37	32
gene_953	5986	6645	6456
gene_954	2438	2675	2570
gene_955	85	106	68
gene_956	3001	3678	3027
gene_957	73	79	80
gene_958	3472	4181	3434
gene_959	1919	2630	2222
gene_960	880	1182	931
gene_961	20566	22094	23497
gene_962	47	62	59
gene_963	6449	6304	6652
gene_964	939	1131	983
gene_965	329	374	406
gene_966	0	0	0
gene_967	0	0	0
gene_968	8	18	21
gene_969	505	738	628
gene_970	1042	1290	1218
gene_971	1831	1985	2007
gene_972	3342	3224	4070
gene_973	28	33	43
gene_974	1537	1960	1781
gene_976	3141	3776	3369
gene_977	12	18	28
gene_978	203	155	198
gene_979	275	339	383
gene_980	7156	8773	7494
gene_983	1414	1598	1356
gene_985	3500	4158	3835
gene_986	1297	1750	1446
gene_987	1457	1658	1608
