Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_879	1609	1448	1486
gene_880	0	1	2
gene_882	6548	5815	5675
gene_883	990	992	993
gene_884	1690	1527	1619
gene_885	1061	1168	1170
gene_886	1861	1751	2055
gene_888	741	639	830
gene_889	3103	2926	3154
gene_890	5534	5121	5696
gene_891	1203	1062	1195
gene_892	8158	7481	7365
gene_893	2255	2055	1994
gene_894	1002	846	890
gene_895	3250	3044	3428
gene_896	834	766	816
gene_897	175	150	195
gene_898	396	358	411
gene_899	542	486	501
gene_900	2329	2071	2201
gene_901	4074	3584	4521
gene_902	4834	4152	4587
gene_903	605	608	661
gene_904	2046	1759	1957
gene_905	803	606	609
gene_906	834	669	714
gene_907	1200	1241	1098
gene_908	1389	1514	1768
gene_909	551	433	465
gene_910	4639	4027	4320
gene_911	344	307	481
gene_912	334	262	316
gene_913	1138	858	889
gene_914	17233	15328	16778
gene_915	1078	1119	1236
gene_917	515	387	513
gene_918	1069	972	1175
gene_919	4701	4436	5076
gene_920	7794	6478	7814
gene_921	1028	1005	1269
gene_922	4482	3964	4998
gene_923	604	500	615
gene_924	2026	1728	1804
gene_925	2	5	3
gene_926	1858	1696	1848
gene_927	7009	6502	6746
gene_928	2320	2293	2539
gene_929	27037	24356	29270
gene_930	2789	2513	2684
gene_931	752	638	738
gene_932	304	322	377
gene_933	2335	2112	2537
gene_934	9608	8954	9900
gene_935	6093	5859	6630
gene_936	0	6	0
gene_937	0	0	0
gene_938	0	2	1
gene_940	129	88	99
gene_941	5346	5336	5355
gene_942	591	434	499
gene_943	1715	1445	1850
gene_945	645	579	665
gene_946	2132	1916	2123
gene_947	12014	11390	12874
gene_948	38439	36648	40221
gene_949	198	275	238
gene_950	187	215	215
gene_951	2266	1905	2135
gene_952	21	10	4
gene_953	10964	10555	11734
gene_954	1865	1721	2069
gene_955	53	46	86
gene_956	2418	2101	2658
gene_957	25	48	49
gene_958	3160	3057	3293
gene_959	1904	1683	2002
gene_960	964	800	1080
gene_961	43793	40454	43961
gene_962	250	218	184
gene_963	18527	17527	20199
gene_964	789	773	925
gene_965	580	495	649
gene_966	0	0	0
gene_967	0	0	0
gene_968	5	1	14
gene_969	867	808	1043
gene_970	516	502	634
gene_971	1572	1451	1689
gene_972	6655	5888	5709
gene_973	54	58	55
gene_974	1239	983	1199
gene_976	2478	2017	2557
gene_977	108	78	94
gene_978	154	104	171
gene_979	326	305	362
gene_980	7369	6726	8136
gene_983	1216	1096	1304
gene_985	2535	2655	2759
gene_986	1216	1122	1130
gene_987	1671	1345	1632
gene_988	39828	36737	44666
gene_989	4630	3884	3782
gene_990	4737	4127	4671
gene_991	6	18	4
gene_992	28	34	42
gene_993	5007	4411	4763
gene_994	63	86	103
gene_995	2990	2390	2914
gene_996	11265	10463	12463
gene_997	1477	1409	1713
gene_998	1195	964	1165
gene_999	2219	1986	1938
gene_1000	3513	3427	3444
gene_1001	3196	2910	3193
gene_1002	1782	1387	1588
gene_1003	2220	2143	2211
gene_1004	1384	1410	1616
gene_1005	5347	4739	5236
gene_1006	2003	1578	1639
gene_1007	8208	7560	7743
gene_1008	212	213	201
gene_1009	267	253	248
gene_1010	0	0	0
gene_1011	71	84	52
gene_1012	23	28	35
gene_1013	4706	3804	3855
gene_1014	1805	1453	1454
gene_1015	7660	7021	8411
gene_1016	383	353	473
gene_1017	1286	1068	1197
gene_1018	1903	1874	2253
gene_1019	4250	3599	4063
gene_1020	50	72	71
gene_1021	10926	9709	9852
gene_1022	3189	2700	2763
gene_1023	614	515	677
gene_1024	1274	986	1247
gene_1025	3027	2632	2874
gene_1029	3093	2391	2718
gene_1030	2126	1858	2014
gene_1031	3201	3040	3274
gene_1032	1907	1734	2169
gene_1033	2170	1690	1988
gene_1034	1177	997	1254
gene_1035	13626	12571	12894
gene_1036	3734	3224	3430
gene_1037	1010	938	1053
gene_1038	957	857	1012
gene_1039	3770	3219	3708
gene_1040	0	0	9
gene_1041	753	627	827
gene_1042	934	838	788
gene_1043	752	709	822
gene_1044	742	669	767
gene_1045	3434	2904	3189
gene_1046	2570	2320	2600
gene_1047	4	0	0
gene_1048	0	5	2
gene_1049	1097	1068	1094
gene_1051	46634	41355	45072
gene_1052	114	105	85
gene_1053	477	445	431
gene_1054	38	27	22
gene_1055	972	886	968
gene_1056	31663	29799	32903
gene_1057	71	48	58
gene_1058	2712	2482	2665
gene_1059	7742	7022	7062
gene_1060	912	933	946
gene_1061	2353	2071	2506
gene_1062	1166	1097	1244
gene_1063	1203	1121	1452
gene_1064	345	358	374
gene_1067	2077	1707	1993
gene_1068	250	196	189
gene_1069	3995	3350	3583
gene_1070	172	114	121
gene_1071	524	506	567
gene_1072	1633	1198	1466
gene_1073	4621	4181	4400
gene_1074	3670	3324	3692
gene_1075	1196	925	1134
gene_1076	280	259	329
gene_1077	1281	1221	1277
gene_1078	597	498	565
gene_1079	1323	1104	1337
gene_1080	1331	905	982
gene_1081	796	801	838
gene_1082	3545	3304	3618
gene_1083	10947	9535	10746
gene_1084	5700	5118	5524
gene_1085	3470	3194	3465
gene_1086	377	320	351
gene_1087	25274	22652	27048
gene_1088	1475	1486	1513
gene_1090	1166	1016	1161
gene_1091	38	31	25
gene_1092	2136	2123	2509
gene_1093	3158	2606	2792
gene_1094	2014	1657	1856
gene_1095	4493	3924	4722
gene_1096	48418	45848	53363
gene_1097	1691	1525	1857
gene_1098	2193	1830	2147
gene_1099	2342	2034	2424
gene_1100	8070	7421	8905
gene_1101	1694	1626	1799
gene_1102	145	83	147
gene_1103	141	77	148
gene_1104	2191	2127	2464
gene_1105	1768	1650	1906
gene_1106	1138	1064	1275
gene_1107	1990	1925	2077
gene_1108	1224	1137	1303
gene_1110	2357	2083	2321
gene_1111	819	698	820
gene_1112	2115	1985	2451
gene_1113	1443	1467	1540
gene_1114	667	763	697
gene_1116	903	868	1158
gene_1117	910	918	938
gene_1118	24290	21301	22047
gene_1119	1341	1344	1534
gene_1120	6503	5996	7118
gene_1121	19141	16614	18060
gene_1122	4958	5171	5400
gene_1123	2201	2079	2119
gene_1124	400	412	472
gene_1125	258	205	282
gene_1126	3652	3092	3407
gene_1127	2438	2331	2703
gene_1128	23256	20346	25907
gene_1129	1252	1038	1088
gene_1130	790	664	682
gene_1131	2042	1654	2133
gene_1132	2534	1865	2198
gene_1133	2489	2040	1998
gene_1134	2166	1879	2204
gene_1135	1595	1534	1749
gene_1136	633	584	587
gene_1137	1026	1026	1279
gene_1138	1253	1210	1277
gene_1139	846	768	928
gene_1140	21405	17983	18969
gene_1141	14	16	7
gene_1142	0	0	0
