Gene_gattii	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
CGB_G1125C	0.370407572317403	0.544906516685658	0.554648640069743	0.730038631699787	0.951968496637565	0.847120939157823	0.726217296129679	0.835557187117436	0.962779067162756	1	0.918449520688156	0.864500980881695
CGB_D1240C	0.863940796222793	0.756101140937188	0.774277808468449	0.825275051824342	0.818569907471433	0.790468558300926	0.990479440308742	0.859325610720737	1	0.792987547060815	0.827706977664813	0.826169577094017
CGB_H2700C	1	0.940505457243692	0.928696319858929	0.862069632384196	0.875240720650919	0.854981125495868	0.853945602228395	0.832272393262415	0.799332668493397	0.730095412806264	0.784845842622912	0.782771992835378
CGB_E2080W	0.68436977213757	0.718611210868676	0.72942867976226	0.757574956050115	0.728962813557332	0.764813500284967	0.802670656958983	0.896406502935431	0.809613754564163	0.96497988316166	1	0.994072784533768
CGB_E2270W	0.829372433179744	0.79470703936591	0.81783859100522	1	0.896065442154492	0.915034695765556	0.715161130705261	0.736007502395677	0.704114295738055	0.874479032369679	0.809961068480115	0.752585681842814
CGB_E3400W	0.499467280373473	0.536954728326577	0.489871303813959	0.556711376139994	0.542865986479203	0.448664562830863	0.831247771322061	0.946802738967306	0.822494347721191	0.966218493407521	0.929053801971499	1
CGB_E1610C	1	0.973477172076889	0.982652130229461	0.909988586058809	0.858367847384053	0.908738310688356	0.66400401495238	0.649055821976069	0.720849976679332	0.55040312680161	0.631825946566803	0.639628277978412
CGB_E1700C	0.682688386619145	0.708558383948677	0.658057520653859	0.592157674438569	0.604466405544999	0.600538042072005	0.777324279404418	0.877843537553799	0.776122036501368	0.908223870184075	1	0.970891764844592
CGB_E1350W	0.678278443595529	0.722961377889577	0.628415518061718	0.800167926741152	0.862134318532716	0.803389303590722	0.920757058024511	1	0.858229382489397	0.889008714451969	0.915661059781043	0.930894966677204
CGB_E1220W	0.952689774506442	0.970884234888228	1	0.803399704144171	0.966307985064501	0.818709305689713	0.793933330284342	0.780482855077207	0.606567351981261	0.687093330017831	0.710274082883266	0.757245702477948
CGB_E1210C	0.812939067754623	0.903433841582238	0.870475730850572	0.73750073151615	0.808357147934085	0.728624783334165	0.947785778958958	1	0.82476704699451	0.944169985550269	0.934339810373209	0.971080202638201
CGB_E0510C	0.840515567667166	0.887798791647426	1	0.387506162068396	0.4146345219508	0.423963910627174	0.876080640542881	0.900206856913532	0.859336435102504	0.535368865776907	0.554892789128362	0.485362812899288
CGB_E0720W	1	0.993549874563302	0.984001622133426	0.883934007798394	0.93720672311567	0.872871895271525	0.782772267821546	0.815535890482017	0.80112532738438	0.694919962277857	0.77739411592554	0.732642388803294
CGB_E0700C	0.815864222041682	0.766971919622209	0.787053270762761	1	0.990759088401327	0.978018159348352	0.946918140693662	0.898510343728734	0.966435083891213	0.889718894877776	0.96573953450807	0.906479017218552
CGB_E0140W	0.925291838447547	0.941088222568419	1	0.90944385447597	0.898311767957442	0.931471133530609	0.722912248485646	0.725913491370829	0.737300456549457	0.797188247787233	0.787367515180665	0.772832817976543
CGB_E0130W	0.946808359801488	1	0.942838106522141	0.632507759050679	0.627205918345866	0.699922378915206	0.501954402978398	0.470809054682209	0.478037503687474	0.35096170855278	0.387651718523401	0.440519919047475
CGB_C1100C	0.746456175645638	0.765698119898662	0.826221185092058	0.408473828569773	0.424266618138703	0.421003955948282	0.903394083748381	1	0.978696152255414	0.663657182558997	0.694496861251048	0.734353465208808
CGB_M0580W	0.81443455467204	1	0.890854610211567	0.360123229853943	0.348679961260778	0.324594847252852	0.537143832191707	0.484046301780516	0.522580456231448	0.344038870301537	0.386295441405974	0.341219981308359
CGB_I0620C	0.889551543687245	1	0.840334362761474	0.608534549154468	0.601327422754772	0.746084077515321	0.72759221252046	0.530187483236981	0.621052577790231	0.875044374880493	0.845236300005494	0.768740945651612
CGB_K2260C	0.581920979411262	0.656045865633424	0.64757673146805	0.709459790829507	0.708731576385233	0.663052915985184	0.696076532240772	0.752251040218871	0.670417351861216	1	0.965984036835385	0.97069123131797
CGB_F5670W	0.819149620553099	0.47378068298089	0.640453093548015	0.392050099134518	0.3386084198366	0.223950255902224	0.823066291670505	0.703156084902599	1	0.581605931586001	0.609813789423644	0.657701589246273
CGB_I2110W	0.213958305114123	0.482622840313389	0.215671356698952	0.256735877511752	0.361617918285473	0.260719810361951	0.801045055222965	1	0.741744885155276	0.987434048172848	0.388246705815172	0.658012396217755
CGB_A7600W	1	0.950095774601965	0.898820117612001	0.886281363654934	0.845716537117376	0.837737493626545	0.568729157067405	0.489185715734213	0.555270081447944	0.436713945882791	0.402975311233245	0.419614657137337
CGB_M2360C	0.642243601883774	0.652489953988602	0.755283326603668	0.815502679479201	0.975471290156727	1	0.765882715614165	0.640456254072986	0.925946596355342	0.784127952721656	0.91699992968371	0.732494893746857
CGB_A6270W	0.421463497062631	0.442400055506577	0.401469510362599	0.633999623904722	0.638003931361053	0.684203212398579	0.933680972896557	0.974462466543464	0.843987360766284	0.922841311352747	1	0.955638528517768
CGB_A9630W	0.933253564233429	1	0.988568911290588	0.626099487741926	0.521908122018289	0.603451369813151	0.642286143104432	0.579043749747616	0.627251038382741	0.464804279374202	0.506381645164892	0.467806299586218
CGB_A9360W	0.785641838575456	0.839757548278632	1	0.425725709311134	0.355441312977547	0.399750218190381	0.403225204984861	0.381410956080724	0.368507052017048	0.420638469307829	0.436257736170229	0.353917864426536
CGB_A9650C	0.94191523531133	1	0.966887284791973	0.541023420314929	0.500413944440933	0.485469923894376	0.476288619839721	0.512120052223613	0.514691358371361	0.222675623925505	0.269307799747616	0.265809091261131
CGB_C7750W	0.884833257167791	0.971932596304372	1	0.328171481206116	0.311158951257256	0.308325460233729	0.743877018013458	0.794726271749414	0.75629120689715	0.488737168819686	0.542180769882035	0.483667370305284
CGB_A8300W	0.889435475299878	1	0.878421239459819	0.760024406987822	0.783818884335743	0.705876038345049	0.662328587257262	0.714573098075637	0.697865899823536	0.653197933469536	0.700499868161692	0.695997894682417
CGB_A8230W	0.885575139820486	0.897709962221875	1	0.806379283307844	0.850928801741251	0.887734125213598	0.419037165184346	0.511564955806418	0.428212678438404	0.355412663759051	0.343197636865375	0.37907964962005
CGB_A8170W	0.993017511743204	1	0.878898802416333	0.78723230084568	0.771778660289458	0.864170455016772	0.730654273830693	0.653486421947112	0.668970530176217	0.707226985253026	0.733001885783378	0.739084181393288
CGB_A9140C	0.986469546108139	1	0.928877829584165	0.408441297877721	0.372041654320791	0.416362651983338	0.4815405629216	0.416307470678933	0.437092784076387	0.291727395610982	0.287858014512632	0.29812927233877
CGB_A8350W	0.991652667926373	1	0.989278641736857	0.651819541585385	0.641413462371794	0.630449541857518	0.715166283799667	0.747794919161715	0.737322096660338	0.661749082596526	0.660032607639299	0.631303989598828
CGB_A7550W	0.796881598373509	0.807678233973716	0.78229605698908	0.683189909671348	0.651526260100299	0.601888281858195	0.828726462607322	0.881647095830049	0.813190636229609	0.982614073134984	0.969385277136551	1
CGB_A7560C	0.933760903700179	1	0.996512329265122	0.371939267909418	0.408477152597146	0.390573132299114	0.538607408765833	0.521486689445401	0.56192487967479	0.169795797246172	0.200612364826983	0.204705713284833
CGB_A9150C	1	0.917687376111636	0.889965850092451	0.236836565699831	0.216008258895693	0.256456212422965	0.53624033123563	0.507976132153096	0.539408883788468	0.220230497637563	0.240254214069385	0.231609228638648
CGB_A9050C	1	0.973017196327679	0.957141253021607	0.964172085619159	0.907743520378935	0.971273060513856	0.421725448647483	0.445388543336674	0.429882365779454	0.307778033551273	0.361202106774903	0.35679948873723
CGB_A9070W	0.687274671846372	0.66188517379566	0.677624708798801	0.870941070082899	1	0.93273311316299	0.908879925305182	0.967271116573892	0.904410936246315	0.951236518255169	0.937718592243887	0.968992291319559
CGB_A8490W	0.998025873861974	1	0.935466494521454	0.975135986992169	0.898737991819641	0.936098281495744	0.975917976465984	0.964091947004717	0.945667319788423	0.73335558336313	0.797255346107551	0.863249429385612
CGB_G4640C	1	0.634411801709404	0.567003641566766	0.466641059295197	0.130010204232078	0.190399107654765	0.343193642438602	0.461946121930658	0.404456855376367	0.66429138318941	0.259227212922955	0.244635958981665
