Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_2263	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2264	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2265	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2266	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2267	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2268	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2269	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2270	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2271	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2272	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2273	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2274	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2275	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2276	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2277	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2278	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2279	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
r_2280	20234.663563202903	15822.530898756368	20306.4270731331	15337.44576825	0.9964659706174924	0.7791883250446723	1.0	0.7553000689393837
